State(x=7191.782884, y=-3040.536167, yaw=-1.570331, v=5.555556, rear_x=7191.782246, rear_y=-3039.166167, steering_angle=0.011486)
State(x=7191.782936, y=-3040.647278, yaw=-1.569872, v=5.555556, rear_x=7191.781669, rear_y=-3039.277279, steering_angle=0.011318)
State(x=7191.783039, y=-3040.758389, yaw=-1.569426, v=5.555556, rear_x=7191.781161, rear_y=-3039.388391, steering_angle=0.010986)
State(x=7191.783191, y=-3040.869500, yaw=-1.568993, v=5.555556, rear_x=7191.780721, rear_y=-3039.499503, steering_angle=0.010667)
State(x=7191.783391, y=-3040.980611, yaw=-1.568573, v=5.555556, rear_x=7191.780345, rear_y=-3039.610615, steering_angle=0.010364)
State(x=7191.783638, y=-3041.091722, yaw=-1.568165, v=5.555556, rear_x=7191.780033, rear_y=-3039.721727, steering_angle=0.010074)
State(x=7191.783931, y=-3041.202833, yaw=-1.567767, v=5.555556, rear_x=7191.779781, rear_y=-3039.832839, steering_angle=0.009798)
State(x=7191.784267, y=-3041.313943, yaw=-1.567381, v=5.555556, rear_x=7191.779588, rear_y=-3039.943951, steering_angle=0.009535)
State(x=7191.784647, y=-3041.425054, yaw=-1.567004, v=5.555556, rear_x=7191.779451, rear_y=-3040.055064, steering_angle=0.009286)
State(x=7191.785068, y=-3041.536164, yaw=-1.566637, v=5.555556, rear_x=7191.779370, rear_y=-3040.166176, steering_angle=0.009050)
State(x=7191.785530, y=-3041.647274, yaw=-1.566279, v=5.555556, rear_x=7191.779342, rear_y=-3040.277288, steering_angle=0.008827)
State(x=7191.786032, y=-3041.758384, yaw=-1.565930, v=5.555556, rear_x=7191.779365, rear_y=-3040.388401, steering_angle=0.008616)
State(x=7191.786573, y=-3041.869494, yaw=-1.565588, v=5.555556, rear_x=7191.779438, rear_y=-3040.499513, steering_angle=0.008416)
State(x=7191.787151, y=-3041.980604, yaw=-1.565255, v=5.555556, rear_x=7191.779559, rear_y=-3040.610625, steering_angle=0.008229)
State(x=7191.787767, y=-3042.091713, yaw=-1.564928, v=5.555556, rear_x=7191.779728, rear_y=-3040.721737, steering_angle=0.008053)
State(x=7191.788419, y=-3042.202822, yaw=-1.564608, v=5.555556, rear_x=7191.779941, rear_y=-3040.832849, steering_angle=0.007889)
State(x=7191.789107, y=-3042.313931, yaw=-1.564295, v=5.555556, rear_x=7191.780199, rear_y=-3040.943960, steering_angle=0.007735)
State(x=7191.789829, y=-3042.425040, yaw=-1.563987, v=5.555556, rear_x=7191.780500, rear_y=-3041.055072, steering_angle=0.007592)
State(x=7191.790586, y=-3042.536149, yaw=-1.563684, v=5.555556, rear_x=7191.780842, rear_y=-3041.166183, steering_angle=0.007460)
State(x=7191.791376, y=-3042.647257, yaw=-1.563387, v=5.555556, rear_x=7191.781225, rear_y=-3041.277294, steering_angle=0.007337)
State(x=7191.792199, y=-3042.758365, yaw=-1.563094, v=5.555556, rear_x=7191.781647, rear_y=-3041.388406, steering_angle=0.007224)
State(x=7191.793055, y=-3042.869473, yaw=-1.562805, v=5.555556, rear_x=7191.782107, rear_y=-3041.499516, steering_angle=0.007120)
State(x=7191.793943, y=-3042.980580, yaw=-1.562520, v=5.555556, rear_x=7191.782605, rear_y=-3041.610627, steering_angle=0.007026)
